study,proxy,Source,Age,norm,Country,norm_leoss
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,62,0.829,Argentina,0.8181864973276186
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,63,0.829,Argentina,0.8137931650804191
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,64,0.829,Argentina,0.8092260164785647
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,65,0.796,Argentina,0.8045627617376957
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,66,0.796,Argentina,0.7998811110734524
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,67,0.796,Argentina,0.795258774701475
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,68,0.796,Argentina,0.7907734628374042
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,69,0.796,Argentina,0.7865028856968801
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,70,0.796,Argentina,0.7825247534955432
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,71,0.796,Argentina,0.7786161160534333
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,72,0.796,Argentina,0.7745480406456551
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,73,0.796,Argentina,0.7703892636704461
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,74,0.796,Argentina,0.766208521526045
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,75,0.724,Argentina,0.7620745506106891
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,76,0.724,Argentina,0.7580560873226162
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,77,0.724,Argentina,0.7542218680600642
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,78,0.724,Argentina,0.7506406292212712
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,79,0.724,Argentina,0.7473811072044746
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,80,0.724,Argentina,0.7445120384079127
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,81,0.724,Argentina,0.7418886272192249
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,82,0.724,Argentina,0.7393323253530704
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,83,0.724,Argentina,0.7368612401982156
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,84,0.724,Argentina,0.7344934791434274
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,85,0.724,Argentina,0.7322471495774723
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,86,0.724,Argentina,0.7301403588891173
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,87,0.724,Argentina,0.7281912144671286
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,88,0.724,Argentina,0.7264178237002734
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,89,0.724,Argentina,0.7248382939773179
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,90,0.724,Argentina,0.7234707326870293
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,91,0.724,Argentina,0.7223133608580247
